word	POS	label	negative	neutral	positive
N-rhetoric	common.nouns	neutral	0.328	0.518	0.154
N-rings	common.nouns	neutral	0.122	0.607	0.271
N-rino	common.nouns	negative	0.564	0.334	0.101
N-riots	common.nouns	neutral	0.381	0.478	0.141
N-rival	common.nouns	neutral	0.082	0.615	0.303
N-rivals	common.nouns	neutral	0.092	0.624	0.285
N-robots	common.nouns	neutral	0.165	0.601	0.234
N-rocket	common.nouns	negative	0.446	0.43	0.124
N-rockets	common.nouns	negative	0.586	0.323	0.091
N-rom	common.nouns	neutral	0.135	0.616	0.249
N-romney	common.nouns	neutral	0.129	0.638	0.233
N-romneycare	common.nouns	neutral	0.153	0.593	0.254
N-roommate	common.nouns	neutral	0.217	0.578	0.205
N-roots	common.nouns	neutral	0.068	0.642	0.29
N-roses	common.nouns	neutral	0.114	0.625	0.261
N-rounds	common.nouns	neutral	0.103	0.623	0.274
N-rss	common.nouns	neutral	0.055	0.633	0.311
N-rts	common.nouns	neutral	0.133	0.593	0.274
N-rule	common.nouns	neutral	0.072	0.625	0.303
N-rules	common.nouns	neutral	0.057	0.632	0.311
N-run	common.nouns	neutral	0.109	0.607	0.283
N-sack	common.nouns	neutral	0.404	0.447	0.149
N-safari	common.nouns	neutral	0.272	0.569	0.159
N-sake	common.nouns	neutral	0.354	0.488	0.158
N-sales	common.nouns	neutral	0.13	0.639	0.231
N-salts	common.nouns	neutral	0.095	0.632	0.273
N-sample	common.nouns	neutral	0.105	0.629	0.265
N-sanctions	common.nouns	neutral	0.284	0.553	0.163
N-sandwich	common.nouns	neutral	0.077	0.645	0.278
N-say	common.nouns	neutral	0.297	0.523	0.179
N-scenario	common.nouns	negative	0.497	0.379	0.124
N-scenes	common.nouns	neutral	0.111	0.611	0.277
N-schedule	common.nouns	neutral	0.082	0.651	0.267
N-school	common.nouns	neutral	0.068	0.682	0.25
N-schools	common.nouns	neutral	0.178	0.613	0.209
N-scientists	common.nouns	neutral	0.305	0.535	0.16
N-scooter	common.nouns	neutral	0.122	0.625	0.253
N-scumbag	common.nouns	negative	0.442	0.436	0.122
N-seals	common.nouns	negative	0.453	0.399	0.148
N-searches	common.nouns	neutral	0.126	0.635	0.239
N-seas	common.nouns	neutral	0.248	0.55	0.202
N-seasons	common.nouns	neutral	0.224	0.573	0.203
N-seats	common.nouns	neutral	0.352	0.51	0.139
N-sec	common.nouns	neutral	0.106	0.637	0.257
N-seconds	common.nouns	neutral	0.193	0.627	0.18
N-secret	common.nouns	neutral	0.115	0.595	0.29
N-secrets	common.nouns	neutral	0.089	0.625	0.286
N-section	common.nouns	neutral	0.09	0.64	0.27
N-security	common.nouns	positive	0.132	0.047	0.822
N-self	common.nouns	neutral	0.112	0.639	0.25
N-senate	common.nouns	neutral	0.139	0.623	0.239
N-senators	common.nouns	neutral	0.158	0.608	0.234
N-seniors	common.nouns	neutral	0.406	0.452	0.143
N-sentences	common.nouns	neutral	0.218	0.565	0.218
N-seo	common.nouns	neutral	0.044	0.66	0.296
N-series	common.nouns	neutral	0.095	0.636	0.27
N-servants	common.nouns	neutral	0.222	0.584	0.193
N-server	common.nouns	neutral	0.334	0.523	0.144
N-servers	common.nouns	neutral	0.203	0.599	0.197
N-services	common.nouns	neutral	0.111	0.617	0.272
N-sets	common.nouns	neutral	0.045	0.661	0.294
N-settings	common.nouns	neutral	0.128	0.617	0.255
N-settlement	common.nouns	neutral	0.262	0.568	0.17
N-settlements	common.nouns	neutral	0.272	0.55	0.179
N-settlers	common.nouns	neutral	0.314	0.512	0.173
N-setup	common.nouns	neutral	0.145	0.616	0.239
N-shadow	common.nouns	neutral	0.143	0.612	0.244
N-shah	common.nouns	neutral	0.328	0.513	0.159
N-shares	common.nouns	neutral	0.097	0.623	0.28
N-sharia	common.nouns	neutral	0.173	0.592	0.235
N-shekel	common.nouns	neutral	0.115	0.629	0.256
N-sheriff	common.nouns	neutral	0.253	0.551	0.197
N-shield	common.nouns	neutral	0.224	0.586	0.19
N-ship	common.nouns	neutral	0.154	0.607	0.239
N-ships	common.nouns	neutral	0.209	0.593	0.197
N-shirts	common.nouns	neutral	0.108	0.621	0.271
N-shits	common.nouns	negative	0.823	0.042	0.135
N-shoes	common.nouns	neutral	0.103	0.617	0.28
N-shops	common.nouns	neutral	0.115	0.628	0.257
N-shots	common.nouns	neutral	0.154	0.602	0.244
N-shout	common.nouns	neutral	0.052	0.553	0.394
N-shoutout	common.nouns	neutral	0.034	0.629	0.337
N-shows	common.nouns	neutral	0.177	0.592	0.232
N-shxt	common.nouns	neutral	0.317	0.524	0.16
N-shyt	common.nouns	negative	0.995	0.001	0.004
N-sides	common.nouns	neutral	0.294	0.541	0.165
N-signature	common.nouns	neutral	0.177	0.594	0.228
N-signs	common.nouns	neutral	0.161	0.608	0.231
N-silence	common.nouns	neutral	0.285	0.548	0.167
N-sis	common.nouns	neutral	0.084	0.606	0.31
N-sisters	common.nouns	neutral	0.097	0.642	0.262
N-sites	common.nouns	neutral	0.077	0.636	0.288
N-situations	common.nouns	neutral	0.31	0.515	0.175
N-sketchup	common.nouns	neutral	0.111	0.626	0.263
N-skies	common.nouns	neutral	0.158	0.595	0.247
N-skills	common.nouns	neutral	0.078	0.613	0.309
N-skydrive	common.nouns	neutral	0.086	0.619	0.295
N-slogans	common.nouns	neutral	0.147	0.595	0.258
N-smear	common.nouns	neutral	0.282	0.54	0.178
N-sms	common.nouns	neutral	0.083	0.654	0.262
N-snl	common.nouns	neutral	0.086	0.611	0.303
N-socialism	common.nouns	neutral	0.189	0.595	0.216
N-socialists	common.nouns	neutral	0.087	0.622	0.292
N-socks	common.nouns	neutral	0.175	0.572	0.253
N-soda	common.nouns	neutral	0.175	0.599	0.226
N-software	common.nouns	neutral	0.172	0.63	0.197
N-soldiers	common.nouns	neutral	0.314	0.521	0.165
N-solutions	common.nouns	neutral	0.345	0.508	0.147
N-solyndra	common.nouns	neutral	0.281	0.536	0.182
N-somebody	common.nouns	neutral	0.351	0.537	0.112
N-someone	common.nouns	neutral	0.342	0.543	0.115
N-somethin	common.nouns	neutral	0.229	0.576	0.195
N-something	common.nouns	neutral	0.042	0.684	0.274
N-songs	common.nouns	neutral	0.078	0.597	0.325
N-sons	common.nouns	neutral	0.283	0.558	0.159
N-sorts	common.nouns	neutral	0.137	0.606	0.257
N-soul	common.nouns	neutral	0.109	0.621	0.27
N-souls	common.nouns	neutral	0.385	0.469	0.146
N-sound	common.nouns	neutral	0.116	0.596	0.289
N-sources	common.nouns	neutral	0.146	0.627	0.227
N-south	common.nouns	neutral	0.175	0.593	0.232
N-sox	common.nouns	neutral	0.128	0.605	0.267
N-spam	common.nouns	negative	0.934	0.016	0.05
N-spanish	common.nouns	neutral	0.127	0.604	0.268
N-speakers	common.nouns	neutral	0.081	0.618	0.3
N-specifics	common.nouns	neutral	0.379	0.473	0.148
N-speculation	common.nouns	neutral	0.304	0.538	0.158
N-speeches	common.nouns	neutral	0.15	0.623	0.227
N-spell	common.nouns	neutral	0.18	0.603	0.217
N-spending	common.nouns	neutral	0.408	0.453	0.139
N-spider	common.nouns	neutral	0.431	0.451	0.118
N-spine	common.nouns	neutral	0.369	0.485	0.145
N-spokesman	common.nouns	neutral	0.294	0.525	0.181
N-spokesperson	common.nouns	neutral	0.228	0.565	0.207
N-spot	common.nouns	neutral	0.087	0.619	0.294
N-spots	common.nouns	neutral	0.167	0.612	0.222
N-spring	common.nouns	neutral	0.051	0.634	0.315
N-st	common.nouns	neutral	0.133	0.628	0.239
N-stadium	common.nouns	neutral	0.14	0.607	0.253
N-stairs	common.nouns	neutral	0.301	0.533	0.166
N-stake	common.nouns	neutral	0.171	0.608	0.221
N-stalker	common.nouns	neutral	0.104	0.622	0.274
N-stamps	common.nouns	neutral	0.236	0.563	0.201
N-stand	common.nouns	neutral	0.145	0.618	0.237
N-standards	common.nouns	neutral	0.257	0.543	0.2
N-staples	common.nouns	neutral	0.264	0.55	0.186
N-stars	common.nouns	neutral	0.06	0.62	0.321
N-start	common.nouns	neutral	0.07	0.62	0.31
N-startup	common.nouns	neutral	0.036	0.663	0.302
N-stat	common.nouns	neutral	0.201	0.591	0.209
N-states	common.nouns	neutral	0.083	0.669	0.248
N-stations	common.nouns	neutral	0.203	0.594	0.203
N-statistics	common.nouns	neutral	0.19	0.58	0.23
N-stats	common.nouns	neutral	0.104	0.607	0.288
N-status's	common.nouns	neutral	0.142	0.595	0.263
N-statuses	common.nouns	neutral	0.239	0.608	0.153
N-sterling	common.nouns	neutral	0.034	0.668	0.299
N-sticker	common.nouns	neutral	0.116	0.634	0.25
N-stickers	common.nouns	neutral	0.11	0.644	0.246
N-stomach	common.nouns	negative	0.74	0.206	0.054
N-stones	common.nouns	neutral	0.266	0.533	0.201
N-stores	common.nouns	neutral	0.136	0.619	0.245
N-stories	common.nouns	neutral	0.061	0.652	0.287
N-storms	common.nouns	negative	0.484	0.397	0.119
N-strangers	common.nouns	negative	0.529	0.368	0.103
N-strategies	common.nouns	neutral	0.163	0.6	0.237
N-streets	common.nouns	neutral	0.127	0.64	0.232
N-strength	common.nouns	neutral	0.056	0.642	0.302
N-strikes	common.nouns	negative	0.454	0.415	0.131
N-strings	common.nouns	neutral	0.132	0.613	0.255
N-students	common.nouns	neutral	0.06	0.643	0.297
N-studies	common.nouns	neutral	0.141	0.614	0.244
N-stump	common.nouns	neutral	0.154	0.596	0.25
N-stunt	common.nouns	neutral	0.32	0.511	0.169
N-stuxnet	common.nouns	neutral	0.428	0.444	0.127
N-sub	common.nouns	neutral	0.132	0.61	0.258
N-subjects	common.nouns	neutral	0.071	0.6	0.329
N-subs	common.nouns	neutral	0.181	0.599	0.219
N-subscribers	common.nouns	neutral	0.091	0.594	0.315
N-subsidies	common.nouns	neutral	0.395	0.474	0.131
N-sudden	common.nouns	neutral	0.442	0.443	0.115
N-suit	common.nouns	neutral	0.149	0.62	0.231
N-suits	common.nouns	neutral	0.118	0.608	0.274
N-summers	common.nouns	neutral	0.285	0.526	0.189
N-sunday	common.nouns	neutral	0.091	0.614	0.295
N-surgery	common.nouns	negative	0.513	0.386	0.101
N-surprise	common.nouns	neutral	0.077	0.607	0.316
N-surveillance	common.nouns	neutral	0.223	0.572	0.205
N-survival	common.nouns	neutral	0.191	0.591	0.218
N-swiss	common.nouns	neutral	0.21	0.59	0.199
N-sympathy	common.nouns	negative	0.586	0.322	0.091
N-sync	common.nouns	neutral	0.179	0.61	0.211
N-syndication	common.nouns	neutral	0.362	0.468	0.17
N-synthesizer	common.nouns	neutral	0.133	0.573	0.294
N-system	common.nouns	neutral	0.281	0.569	0.15
N-systems	common.nouns	neutral	0.291	0.558	0.152
N-t	common.nouns	neutral	0.151	0.59	0.26
N-t-shirt	common.nouns	neutral	0.062	0.649	0.289
N-t-shirts	common.nouns	neutral	0.102	0.62	0.277
N-tab	common.nouns	neutral	0.065	0.666	0.269
N-tables	common.nouns	neutral	0.174	0.587	0.239
N-tablets	common.nouns	neutral	0.131	0.605	0.263
N-tabs	common.nouns	neutral	0.242	0.582	0.176
N-tactic	common.nouns	neutral	0.289	0.54	0.17
N-tactics	common.nouns	neutral	0.393	0.489	0.118
N-tags	common.nouns	neutral	0.198	0.578	0.224
N-take	common.nouns	neutral	0.148	0.602	0.25
N-takeover	common.nouns	neutral	0.233	0.584	0.183
N-tale	common.nouns	neutral	0.113	0.612	0.275
N-talking	common.nouns	neutral	0.11	0.585	0.304
N-talks	common.nouns	neutral	0.136	0.638	0.226
N-tank	common.nouns	neutral	0.166	0.604	0.229
N-targets	common.nouns	neutral	0.211	0.577	0.211
N-tattoos	common.nouns	neutral	0.115	0.592	0.293
N-taxes	common.nouns	neutral	0.259	0.559	0.182
N-taxpayer	common.nouns	neutral	0.305	0.546	0.149
N-taxpayers	common.nouns	neutral	0.233	0.579	0.188
N-tbh	common.nouns	neutral	0.218	0.596	0.186
N-teachers	common.nouns	neutral	0.196	0.602	0.202
N-team	common.nouns	neutral	0.05	0.665	0.285
N-teams	common.nouns	neutral	0.13	0.609	0.261
N-teaparty	common.nouns	neutral	0.319	0.542	0.139
N-tears	common.nouns	negative	0.998	0.001	0.002
N-tech	common.nouns	neutral	0.051	0.663	0.287
N-tee	common.nouns	neutral	0.06	0.627	0.313
N-teen	common.nouns	neutral	0.253	0.55	0.197
N-teenager	common.nouns	neutral	0.225	0.569	0.207
N-teenagers	common.nouns	neutral	0.363	0.491	0.146
N-teens	common.nouns	neutral	0.206	0.589	0.205
N-tel	common.nouns	neutral	0.055	0.641	0.305
N-teleprompter	common.nouns	neutral	0.204	0.577	0.219
N-temp	common.nouns	neutral	0.402	0.464	0.134
N-territories	common.nouns	neutral	0.112	0.636	0.252
N-terrorists	common.nouns	negative	0.994	0.001	0.004
N-testament	common.nouns	neutral	0.084	0.635	0.281
N-tests	common.nouns	neutral	0.25	0.583	0.168
N-texts	common.nouns	neutral	0.197	0.628	0.175
N-tf	common.nouns	negative	0.478	0.409	0.113
N-th	common.nouns	neutral	0.126	0.601	0.273
N-thang	common.nouns	neutral	0.126	0.611	0.263
N-thanks	common.nouns	positive	0.027	0.034	0.939
N-thanx	common.nouns	positive	0.036	0.016	0.948
N-theatre	common.nouns	neutral	0.178	0.594	0.229
N-themes	common.nouns	neutral	0.098	0.638	0.264
N-theories	common.nouns	neutral	0.151	0.598	0.25
N-theory	common.nouns	neutral	0.097	0.63	0.273
N-therapist	common.nouns	negative	0.524	0.366	0.109
N-therapy	common.nouns	neutral	0.225	0.571	0.205
N-thingy	common.nouns	neutral	0.104	0.604	0.292
N-thnx	common.nouns	positive	0.117	0.08	0.803
N-thousands	common.nouns	neutral	0.36	0.502	0.138
N-thrones	common.nouns	neutral	0.07	0.651	0.279
N-thugs	common.nouns	neutral	0.256	0.563	0.181
N-thursday	common.nouns	neutral	0.119	0.62	0.26
N-thx	common.nouns	positive	0.126	0.392	0.482
N-tickets	common.nouns	neutral	0.081	0.642	0.277
N-ties	common.nouns	neutral	0.153	0.605	0.242
N-time	common.nouns	neutral	0.028	0.645	0.328
N-timeline	common.nouns	neutral	0.29	0.57	0.14
N-times	common.nouns	neutral	0.052	0.682	0.266
N-timing	common.nouns	neutral	0.288	0.539	0.173
N-tips	common.nouns	neutral	0.093	0.636	0.271
N-tits	common.nouns	neutral	0.123	0.583	0.294
N-tix	common.nouns	neutral	0.1	0.628	0.273
N-tl	common.nouns	neutral	0.354	0.514	0.132
N-tmrw	common.nouns	neutral	0.092	0.629	0.279
N-tnx	common.nouns	neutral	0.036	0.609	0.355
N-tomatoes	common.nouns	neutral	0.125	0.64	0.235
N-tomorrow	common.nouns	neutral	0.03	0.682	0.288
N-tonight	common.nouns	neutral	0.048	0.659	0.292
N-tonite	common.nouns	neutral	0.078	0.625	0.297
N-tons	common.nouns	neutral	0.108	0.625	0.267
N-tool	common.nouns	neutral	0.091	0.642	0.268
N-tools	common.nouns	neutral	0.088	0.644	0.268
N-topics	common.nouns	neutral	0.152	0.617	0.231
N-torah	common.nouns	neutral	0.141	0.615	0.244
N-tory	common.nouns	neutral	0.324	0.51	0.167
N-tourism	common.nouns	neutral	0.138	0.616	0.247
N-tourists	common.nouns	negative	0.467	0.385	0.148
N-tours	common.nouns	neutral	0.082	0.636	0.281
N-towns	common.nouns	neutral	0.305	0.522	0.173
N-toys	common.nouns	neutral	0.165	0.599	0.237
N-track	common.nouns	neutral	0.073	0.63	0.297
N-tracker	common.nouns	neutral	0.105	0.628	0.268
N-tracking	common.nouns	neutral	0.076	0.646	0.277
N-tracks	common.nouns	neutral	0.093	0.636	0.272
N-trade	common.nouns	neutral	0.162	0.633	0.205
N-tradition	common.nouns	neutral	0.16	0.614	0.226
N-trailer	common.nouns	neutral	0.073	0.619	0.308
N-transcripts	common.nouns	neutral	0.151	0.595	0.254
N-translater	common.nouns	neutral	0.119	0.618	0.263
N-translation	common.nouns	neutral	0.076	0.634	0.29
N-translator	common.nouns	neutral	0.052	0.657	0.292
N-trap	common.nouns	neutral	0.281	0.537	0.182
N-travels	common.nouns	neutral	0.058	0.62	0.322
N-trees	common.nouns	neutral	0.087	0.625	0.288
N-trends	common.nouns	neutral	0.131	0.626	0.244
N-tribe	common.nouns	neutral	0.094	0.642	0.264
N-tribes	common.nouns	neutral	0.073	0.671	0.257
N-tribune	common.nouns	neutral	0.099	0.626	0.275
N-trillions	common.nouns	negative	0.55	0.349	0.1
N-trip	common.nouns	neutral	0.038	0.646	0.316
N-trips	common.nouns	neutral	0.11	0.63	0.26
N-trolls	common.nouns	neutral	0.266	0.551	0.182
N-truck	common.nouns	neutral	0.28	0.55	0.17
N-tt	common.nouns	neutral	0.178	0.59	0.232
N-tuesday	common.nouns	neutral	0.13	0.623	0.246
N-tumblr	common.nouns	neutral	0.176	0.582	0.242
N-tunes	common.nouns	neutral	0.053	0.619	0.328
N-turkey	common.nouns	neutral	0.087	0.647	0.266
N-turnout	common.nouns	neutral	0.266	0.556	0.178
N-tv	common.nouns	neutral	0.053	0.687	0.26
N-twat	common.nouns	neutral	0.286	0.564	0.15
N-tweeps	common.nouns	neutral	0.05	0.613	0.337
N-tweet	common.nouns	neutral	0.062	0.636	0.303
N-tweeters	common.nouns	neutral	0.075	0.595	0.33
N-tweets	common.nouns	neutral	0.042	0.667	0.29
N-twist	common.nouns	neutral	0.087	0.638	0.275
N-twit	common.nouns	neutral	0.139	0.574	0.286
N-twitter	common.nouns	negative	0.524	0.372	0.104
N-twitters	common.nouns	neutral	0.155	0.592	0.253
N-types	common.nouns	neutral	0.082	0.601	0.317
N-typo	common.nouns	neutral	0.256	0.565	0.179
N-ui	common.nouns	neutral	0.122	0.605	0.273
N-uk	common.nouns	neutral	0.117	0.654	0.229
N-ultrasound	common.nouns	neutral	0.181	0.598	0.221
N-un	common.nouns	neutral	0.371	0.486	0.143
N-underwear	common.nouns	neutral	0.086	0.624	0.29
N-unemployment	common.nouns	neutral	0.342	0.526	0.132
N-uni	common.nouns	neutral	0.196	0.577	0.227
N-uniform	common.nouns	neutral	0.096	0.617	0.287
N-uniforms	common.nouns	neutral	0.269	0.55	0.181
N-unions	common.nouns	neutral	0.292	0.547	0.161
N-update	common.nouns	neutral	0.05	0.661	0.288
N-updates	common.nouns	neutral	0.073	0.649	0.278
N-ups	common.nouns	neutral	0.171	0.595	0.233
N-urge	common.nouns	neutral	0.324	0.519	0.157
N-url	common.nouns	neutral	0.232	0.556	0.212
N-usa	common.nouns	neutral	0.257	0.581	0.162
N-use	common.nouns	neutral	0.076	0.632	0.291
N-user	common.nouns	neutral	0.092	0.634	0.275
N-username	common.nouns	neutral	0.131	0.615	0.254
N-users	common.nouns	neutral	0.108	0.639	0.254
N-utc	common.nouns	neutral	0.066	0.641	0.292
N-uterus	common.nouns	neutral	0.401	0.467	0.132
N-vacations	common.nouns	neutral	0.209	0.582	0.209
N-vagina	common.nouns	neutral	0.268	0.568	0.164
N-veep	common.nouns	neutral	0.062	0.651	0.287
N-verb	common.nouns	neutral	0.072	0.637	0.29
N-veterans	common.nouns	neutral	0.271	0.542	0.188
N-vets	common.nouns	neutral	0.211	0.559	0.23
N-vibration	common.nouns	neutral	0.029	0.678	0.294
N-victims	common.nouns	negative	0.996	0.001	0.003
N-vid	common.nouns	neutral	0.082	0.609	0.309
N-video	common.nouns	neutral	0.033	0.668	0.299
N-videos	common.nouns	neutral	0.068	0.67	0.261
N-vids	common.nouns	neutral	0.088	0.618	0.294
N-viewers	common.nouns	neutral	0.295	0.534	0.171
N-visitors	common.nouns	neutral	0.054	0.654	0.292
N-visits	common.nouns	neutral	0.099	0.636	0.265
N-voices	common.nouns	neutral	0.174	0.589	0.236
N-volunteers	common.nouns	neutral	0.075	0.619	0.306
N-vote	common.nouns	neutral	0.053	0.632	0.315
N-voter	common.nouns	neutral	0.191	0.601	0.207
N-voters	common.nouns	neutral	0.093	0.664	0.243
N-votes	common.nouns	neutral	0.124	0.641	0.236
N-vows	common.nouns	neutral	0.324	0.515	0.161
N-vp	common.nouns	neutral	0.046	0.662	0.292
N-wage	common.nouns	negative	0.541	0.357	0.102
N-walking	common.nouns	neutral	0.124	0.612	0.264
N-wallpaper	common.nouns	neutral	0.047	0.621	0.332
N-walls	common.nouns	neutral	0.07	0.625	0.305
N-wank	common.nouns	neutral	0.258	0.568	0.173
N-wanker	common.nouns	neutral	0.265	0.536	0.199
N-wapo	common.nouns	neutral	0.24	0.549	0.211
N-warriors	common.nouns	neutral	0.132	0.627	0.241
N-wars	common.nouns	negative	0.984	0.006	0.01
N-watch	common.nouns	neutral	0.191	0.589	0.221
N-watchdog	common.nouns	neutral	0.122	0.625	0.253
N-waters	common.nouns	neutral	0.245	0.57	0.186
N-way	common.nouns	neutral	0.11	0.575	0.315
N-weapons	common.nouns	neutral	0.324	0.53	0.146
N-webmaster	common.nouns	neutral	0.086	0.651	0.263
N-website	common.nouns	neutral	0.03	0.672	0.298
N-websites	common.nouns	neutral	0.069	0.625	0.306
N-wedding	common.nouns	neutral	0.064	0.63	0.306
N-wednesday	common.nouns	neutral	0.073	0.629	0.298
N-weed	common.nouns	neutral	0.126	0.616	0.258
N-weekend	common.nouns	neutral	0.043	0.655	0.302
N-weeks	common.nouns	neutral	0.044	0.669	0.287
N-weight	common.nouns	neutral	0.347	0.506	0.147
N-welfare	common.nouns	neutral	0.205	0.594	0.202
N-west	common.nouns	neutral	0.152	0.607	0.241
N-wh	common.nouns	negative	0.485	0.397	0.119
N-while	common.nouns	neutral	0.098	0.613	0.289
N-whitehouse	common.nouns	neutral	0.188	0.594	0.218
N-whites	common.nouns	neutral	0.41	0.459	0.132
N-wifi	common.nouns	neutral	0.229	0.594	0.177
N-wiki	common.nouns	neutral	0.101	0.643	0.256
N-windows	common.nouns	neutral	0.13	0.61	0.261
N-wings	common.nouns	neutral	0.075	0.62	0.304
N-witness	common.nouns	neutral	0.167	0.587	0.246
N-wives	common.nouns	neutral	0.112	0.617	0.271
N-wk	common.nouns	neutral	0.229	0.575	0.196
N-wolf	common.nouns	neutral	0.196	0.577	0.227
N-women	common.nouns	neutral	0.131	0.621	0.247
N-woods	common.nouns	neutral	0.169	0.613	0.218
N-wordpress	common.nouns	neutral	0.083	0.641	0.275
N-work	common.nouns	neutral	0.207	0.632	0.161
N-workers	common.nouns	neutral	0.204	0.603	0.194
N-workout	common.nouns	neutral	0.071	0.611	0.318
N-works	common.nouns	neutral	0.088	0.596	0.316
N-worlds	common.nouns	neutral	0.178	0.592	0.23
N-writers	common.nouns	neutral	0.09	0.643	0.267
N-york	common.nouns	neutral	0.08	0.658	0.262
N-yr	common.nouns	neutral	0.146	0.615	0.239
N-yrs	common.nouns	neutral	0.272	0.547	0.18
N-zerg	common.nouns	neutral	0.05	0.629	0.32
N-zero	common.nouns	neutral	0.257	0.561	0.182
N-zionist	common.nouns	neutral	0.181	0.606	0.213
N-zionists	common.nouns	neutral	0.402	0.472	0.126
N-zipper	common.nouns	neutral	0.073	0.61	0.317
N-zombie	common.nouns	neutral	0.2	0.564	0.236
N-zombies	common.nouns	neutral	0.187	0.59	0.223
N-zune	common.nouns	neutral	0.21	0.598	0.192
O-any1	pronouns	negative	0.423	0.383	0.194
O-both	pronouns	neutral	0.21	0.532	0.258
O-dat	pronouns	negative	0.445	0.406	0.149
O-dey	pronouns	neutral	0.361	0.48	0.159
O-dis	pronouns	negative	0.428	0.392	0.18
O-eachother	pronouns	negative	0.562	0.298	0.14
O-em	pronouns	neutral	0.195	0.5	0.306
O-every1	pronouns	negative	0.526	0.341	0.134
O-he	pronouns	neutral	0.124	0.639	0.237
O-her	pronouns	neutral	0.09	0.619	0.29
O-hers	pronouns	neutral	0.314	0.433	0.253
O-herself	pronouns	negative	0.436	0.415	0.149
O-him	pronouns	neutral	0.117	0.615	0.268
O-himself	pronouns	neutral	0.255	0.549	0.196
O-i	pronouns	neutral	0.115	0.477	0.408
O-ii	pronouns	neutral	0.354	0.45	0.196
O-it	pronouns	neutral	0.122	0.492	0.386
O-itself	pronouns	negative	0.435	0.396	0.169
O-joseline	pronouns	negative	0.903	0.07	0.027
O-me	pronouns	negative	0.807	0.135	0.058
O-mee	pronouns	neutral	0.258	0.469	0.273
O-myself	pronouns	neutral	0.221	0.579	0.2
O-neither	pronouns	negative	0.726	0.198	0.076
O-ours	pronouns	negative	0.399	0.392	0.209
O-ourselves	pronouns	neutral	0.287	0.449	0.264
O-she	pronouns	neutral	0.107	0.6	0.293
O-some1	pronouns	negative	0.57	0.293	0.137
O-that	pronouns	neutral	0.183	0.473	0.344
O-theirs	pronouns	negative	0.483	0.352	0.165
O-them	pronouns	neutral	0.034	0.587	0.379
O-themselves	pronouns	neutral	0.416	0.433	0.151
O-these	pronouns	neutral	0.179	0.506	0.315
O-they	pronouns	negative	0.795	0.139	0.066
O-this	pronouns	neutral	0.055	0.606	0.339
O-those	pronouns	neutral	0.134	0.562	0.304
O-thou	pronouns	neutral	0.275	0.554	0.17
O-tht	pronouns	negative	0.457	0.378	0.166
O-u	pronouns	neutral	0.152	0.47	0.379
O-urself	pronouns	neutral	0.265	0.455	0.279
O-us	pronouns	negative	0.43	0.4	0.171
O-wat	pronouns	neutral	0.334	0.49	0.176
O-we	pronouns	neutral	0.187	0.489	0.324
O-what	pronouns	neutral	0.042	0.613	0.346
O-which	pronouns	neutral	0.283	0.471	0.247
O-who	pronouns	negative	0.442	0.352	0.206
O-whoever	pronouns	neutral	0.229	0.499	0.271
O-whom	pronouns	neutral	0.326	0.507	0.167
O-wht	pronouns	negative	0.461	0.379	0.159
O-wut	pronouns	negative	0.499	0.357	0.143
O-ww3	pronouns	negative	0.699	0.217	0.084
O-y'all	pronouns	neutral	0.244	0.496	0.26
O-ya	pronouns	neutral	0.117	0.453	0.43
O-ya'll	pronouns	neutral	0.266	0.448	0.286
O-yall	pronouns	neutral	0.413	0.435	0.153
O-ye	pronouns	neutral	0.162	0.537	0.301
O-yhu	pronouns	negative	0.495	0.362	0.144
O-yo	pronouns	neutral	0.138	0.518	0.345
O-you	pronouns	negative	0.707	0.134	0.159
O-yours	pronouns	positive	0.178	0.404	0.418
O-yourself	pronouns	neutral	0.123	0.497	0.38
O-yourselves	pronouns	neutral	0.309	0.418	0.273
O-youu	pronouns	positive	0.135	0.401	0.464
O-youuu	pronouns	positive	0.341	0.094	0.565
O-yu	pronouns	neutral	0.16	0.449	0.391
O-yuh	pronouns	neutral	0.214	0.494	0.292
P-2	preposition	neutral	0.279	0.578	0.143
P-2b	preposition	negative	0.591	0.318	0.091
P-4	preposition	neutral	0.184	0.632	0.184
P-@	preposition	neutral	0.118	0.679	0.203
P-about	preposition	neutral	0.113	0.621	0.266
P-abt	preposition	neutral	0.421	0.473	0.106
P-across	preposition	neutral	0.202	0.59	0.208
P-after	preposition	neutral	0.074	0.661	0.266
P-along	preposition	neutral	0.188	0.585	0.226
P-among	preposition	neutral	0.182	0.647	0.171
P-amongst	preposition	neutral	0.286	0.541	0.173
P-around	preposition	neutral	0.166	0.652	0.182
P-as	preposition	neutral	0.078	0.62	0.303
P-at	preposition	neutral	0.047	0.644	0.309
P-at)climate_source	preposition	neutral	0.399	0.534	0.067
P-at)upgradebrowser	preposition	negative	0.522	0.407	0.071
P-b/c	preposition	negative	0.698	0.245	0.057
P-b4	preposition	neutral	0.414	0.492	0.094
P-bc	preposition	negative	0.709	0.236	0.055
P-bcuz	preposition	negative	0.696	0.238	0.066
P-bcz	preposition	negative	0.647	0.282	0.071
P-because	preposition	neutral	0.374	0.502	0.124
P-becuz	preposition	negative	0.728	0.204	0.067
P-before	preposition	neutral	0.091	0.696	0.213
P-behind	preposition	neutral	0.378	0.519	0.103
P-below	preposition	neutral	0.413	0.481	0.106
P-beside	preposition	neutral	0.291	0.559	0.15
